Type,ConditionLabel,Numeral,BaseFormOfTargetNoun,FinalSentence,TargetAudioFile,PathOfAudioFile,Group,OutputAudioFile,PluralFormOfTargetNoun,CountFormOfTargetNoun,OtherPluralForm
target1,A,два,месец,В паметта на човека изплуваха два изминали,Targets_STE-001_mono.wav,Targets_STE-001_mono.wav,A,target1_A_месец_два_A,месеци,месеца,
target1,APN,два,месец,В паметта на човека изплуваха два изминали преди време,Targets_STE-002_mono.wav,Targets_STE-002_mono.wav,B,target1_APN_месец_два_B,месеци,месеца,
target1,APAdvAN,два,месец,В паметта на човека изплуваха два изминали преди много дълго време,Targets_STE-003_mono.wav,Targets_STE-003_mono.wav,C,target1_APAdvAN_месец_два_C,месеци,месеца,
target1,A,три,кладенец,Като мираж в пустинята проблясваха три пълни,Targets_STE-004_mono.wav,Targets_STE-004_mono.wav,C,target1_A_кладенец_три_C,кладенци,кладенеца,
target1,APN,три,кладенец,Като мираж в пустинята проблясваха три пълни с камъчета,Targets_STE-005_mono.wav,Targets_STE-005_mono.wav,A,target1_APN_кладенец_три_A,кладенци,кладенеца,
target1,APAdvAN,три,кладенец,Като мираж в пустинята проблясваха три пълни с много бляскави камъчета,Targets_STE-006_mono.wav,Targets_STE-006_mono.wav,B,target1_APAdvAN_кладенец_три_B,кладенци,кладенеца,
target1,A,два,град,В страната процъфтяваха два посещавани,Targets_STE-007_mono.wav,Targets_STE-007_mono.wav,B,target1_A_град_два_B,градове,града,
target1,APN,два,град,В страната процъфтяваха два посещавани от туристката,Targets_STE-008_mono.wav,Targets_STE-008_mono.wav,C,target1_APN_град_два_C,градове,града,
target1,APAdvAN,два,град,В страната процъфтяваха два посещавани от много заинтересoваната туристка,Targets_STE-009_mono.wav,Targets_STE-009_mono.wav,A,target1_APAdvAN_град_два_A,градове,града,
target1,A,три,товар,Сутринта пристигнаха три превозeни,Targets_STE-010_mono.wav,Targets_STE-010_mono.wav,A,target1_A_товар_три_A,товари,товара,
target1,APN,три,товар,Сутринта пристигнаха три превозeни от колата,Targets_STE-011_mono.wav,Targets_STE-011_mono.wav,B,target1_APN_товар_три_B,товари,товара,
target1,APAdvAN,три,товар,Сутринта пристигнаха три превозeни от много голямата кола,Targets_STE-012_mono.wav,Targets_STE-012_mono.wav,C,target1_APAdvAN_товар_три_C,товари,товара,
target1,A,четири,възел,На кораба пътниците впечатляваха четири направени,Targets_STE-013_mono.wav,Targets_STE-013_mono.wav,C,target1_A_възел_четири_C,възли,възела,възели
target1,APN,четири,възел,На кораба пътниците впечатляваха четири направени от чистачката,Targets_STE-014_mono.wav,Targets_STE-014_mono.wav,A,target1_APN_възел_четири_A,възли,възела,възели
target1,APAdvAN,четири,възел,На кораба пътниците впечатляваха четири направени от много сръчната чистачка,Targets_STE-015_mono.wav,Targets_STE-015_mono.wav,B,target1_APAdvAN_възел_четири_B,възли,възела,възели
target1,A,пет,ъгъл,На дъската учениците занимаваха пет начертани,Targets_STE-016_mono.wav,Targets_STE-016_mono.wav,B,target1_A_ъгъл_пет_B,ъгли,ъгъла,
target1,APN,пет,ъгъл,На дъската учениците занимаваха пет начертани от ученичката,Targets_STE-017_mono.wav,Targets_STE-017_mono.wav,C,target1_APN_ъгъл_пет_C,ъгли,ъгъла,
target1,APAdvAN,пет,ъгъл,На дъската учениците занимаваха пет начертани от много ученолюбивата ученичка,Targets_STE-018_mono.wav,Targets_STE-018_mono.wav,A,target1_APAdvAN_ъгъл_пет_A,ъгли,ъгъла,
target1,A,шест,кон,От ранчото избягаха шест опитомени,Targets_STE-019_mono.wav,Targets_STE-019_mono.wav,A,target1_A_кон_шест_A,коне,коня,
target1,APN,шест,кон,От ранчото избягаха шест опитомени от бабата,Targets_STE-020_mono.wav,Targets_STE-020_mono.wav,B,target1_APN_кон_шест_B,коне,коня,
target1,APAdvAN,шест,кон,От ранчото избягаха шест опитомени от много старата баба,Targets_STE-021_mono.wav,Targets_STE-021_mono.wav,C,target1_APAdvAN_кон_шест_C,коне,коня,
target1,A,седем,случай,На срещата публиката вълнуваха седем обсъждани,Targets_STE-022_mono.wav,Targets_STE-022_mono.wav,C,target1_A_случай_седем_C,случаи,случая,
target1,APN,седем,случай,На срещата публиката вълнуваха седем обсъждани от професорката,Targets_STE-023_mono.wav,Targets_STE-023_mono.wav,A,target1_APN_случай_седем_A,случаи,случая,
target1,APAdvAN,седем,случай,На срещата публиката вълнуваха седем обсъждани от много запознатата професорка,Targets_STE-024_mono.wav,Targets_STE-024_mono.wav,B,target1_APAdvAN_случай_седем_B,случаи,случая,
target1,A,два,венец,Главата на войника красяха два изплетени,Targets_STE-025_mono.wav,Targets_STE-025_mono.wav,B,target1_A_венец_два_B,венци,венеца,
target1,APN,два,венец,Главата на войника красяха два изплетени от вдовицата,Targets_STE-026_mono.wav,Targets_STE-026_mono.wav,C,target1_APN_венец_два_C,венци,венеца,
target1,APAdvAN,два,венец,Главата на войника красяха два изплетени от много добрата вдовица,Targets_STE-027_mono.wav,Targets_STE-027_mono.wav,A,target1_APAdvAN_венец_два_A,венци,венеца,
target1,A,четири,критерий,Следващите стъпки определиха четири съществени,Targets_STE-028_mono.wav,Targets_STE-028_mono.wav,A,target1_A_критерий_четири_A,критерии,критерия,
target1,APN,четири,критерий,Следващите стъпки определиха четири съществени за събранието,Targets_STE-029_mono.wav,Targets_STE-029_mono.wav,B,target1_APN_критерий_четири_B,критерии,критерия,
target1,APAdvAN,четири,критерий,Следващите стъпки определиха четири съществени за много голямото събрание,Targets_STE-030_mono.wav,Targets_STE-030_mono.wav,C,target1_APAdvAN_критерий_четири_C,критерии,критерия,
target1,A,пет,тюлен,На полюса зимата преживяха пет оцелели,Targets_STE-031_mono.wav,Targets_STE-031_mono.wav,C,target1_A_тюлен_пет_C,тюлени,тюлена,
target1,APN,пет,тюлен,На полюса зимата преживяха пет оцелели след заледяването,Targets_STE-032_mono.wav,Targets_STE-032_mono.wav,A,target1_APN_тюлен_пет_A,тюлени,тюлена,
target1,APAdvAN,пет,тюлен,На полюса зимата преживяха пет оцелели след много рязкото заледяване,Targets_STE-033_mono.wav,Targets_STE-033_mono.wav,B,target1_APAdvAN_тюлен_пет_B,тюлени,тюлена,
target1,A,три,дукат,Голямата сензация на търга станаха три продадени,Targets_STE-034_mono.wav,Targets_STE-034_mono.wav,B,target1_A_дукат_три_B,дукати,дуката,
target1,APN,три,дукат,Голямата сензация на търга станаха три продадени от дамата,Targets_STE-035_mono.wav,Targets_STE-035_mono.wav,C,target1_APN_дукат_три_C,дукати,дуката,
target1,APAdvAN,три,дукат,Голямата сензация на търга станаха три продадени от много възрастната дама,Targets_STE-036_mono.wav,Targets_STE-036_mono.wav,A,target1_APAdvAN_дукат_три_A,дукати,дуката,
target1,A,четири,образец,В класната стая дъската запълваха четири нарисувани,Targets_STE-037_mono.wav,Targets_STE-037_mono.wav,A,target1_A_образец_четири_A,образци,образеца,
target1,APN,четири,образец,В класната стая дъската запълваха четири нарисувани от преподавателката,Targets_STE-038_mono.wav,Targets_STE-038_mono.wav,B,target1_APN_образец_четири_B,образци,образеца,
target1,APAdvAN,четири,образец,В класната стая дъската запълваха четири нарисувани от много младата преподавателка,Targets_STE-039_mono.wav,Targets_STE-039_mono.wav,C,target1_APAdvAN_образец_четири_C,образци,образеца,
target1,A,шест,жребец,На свобода тичаха шест избягали,Targets_STE-040_mono.wav,Targets_STE-040_mono.wav,C,target1_A_жребец_шест_C,жребци,жребеца,
target1,APN,шест,жребец,На свобода тичаха шест избягали от ранчото,Targets_STE-041_mono.wav,Targets_STE-041_mono.wav,A,target1_APN_жребец_шест_A,жребци,жребеца,
target1,APAdvAN,шест,жребец,На свобода тичаха шест избягали от много голямото ранчо,Targets_STE-042_mono.wav,Targets_STE-042_mono.wav,B,target1_APAdvAN_жребец_шест_B,жребци,жребеца,
target1,A,седем,вълк,В гората виеха седем страшни,Targets_STE-043_mono.wav,Targets_STE-043_mono.wav,B,target1_A_вълк_седем_B,вълци,вълка,
target1,APN,седем,вълк,В гората виеха седем страшни за момичето,Targets_STE-044_mono.wav,Targets_STE-044_mono.wav,C,target1_APN_вълк_седем_C,вълци,вълка,
target1,APAdvAN,седем,вълк,В гората виеха седем страшни за много малкото момиче,Targets_STE-045_mono.wav,Targets_STE-045_mono.wav,A,target1_APAdvAN_вълк_седем_A,вълци,вълка,
target1,A,два,пръст,Вниманието на лекаря насочваха два надути,Targets_STE-046_mono.wav,Targets_STE-046_mono.wav,A,target1_A_пръст_два_A,пръсти,пръста,
target1,APN,два,пръст,Вниманието на лекаря насочваха два надути след лечението,Targets_STE-047_mono.wav,Targets_STE-047_mono.wav,B,target1_APN_пръст_два_B,пръсти,пръста,
target1,APAdvAN,два,пръст,Вниманието на лекаря насочваха два надути след много скъпото лечение,Targets_STE-048_mono.wav,Targets_STE-048_mono.wav,C,target1_APAdvAN_пръст_два_C,пръсти,пръста,
target1,A,три,сокол,От скривалището излетяха три подплашени,Targets_STE-049_mono.wav,Targets_STE-049_mono.wav,C,target1_A_сокол_три_C,соколи,сокола,
target1,APN,три,сокол,От скривалището излетяха три подплашени от плашилото,Targets_STE-050_mono.wav,Targets_STE-050_mono.wav,A,target1_APN_сокол_три_A,соколи,сокола,
target1,APAdvAN,три,сокол,От скривалището излетяха три подплашени от много голямото плашило,Targets_STE-051_mono.wav,Targets_STE-051_mono.wav,B,target1_APAdvAN_сокол_три_B,соколи,сокола,
target1,A,пет,огън,Онази нощ горяха пет пламнали,Targets_STE-052_mono.wav,Targets_STE-052_mono.wav,B,target1_A_огън_пет_B,огньове,огъня,
target1,APN,пет,огън,Онази нощ горяха пет пламнали в гората,Targets_STE-053_mono.wav,Targets_STE-053_mono.wav,C,target1_APN_огън_пет_C,огньове,огъня,
target1,APAdvAN,пет,огън,Онази нощ горяха пет пламнали в много гъстата гора,Targets_STE-054_mono.wav,Targets_STE-054_mono.wav,A,target1_APAdvAN_огън_пет_A,огньове,огъня,
target1,A,четири,прозорец,С поправката майстора затрудниха четири счупени,Targets_STE-055_mono.wav,Targets_STE-055_mono.wav,A,target1_A_прозорец_четири_A,прозорци,прозореца,
target1,APN,четири,прозорец,С поправката майстора затрудниха четири счупени от детето,Targets_STE-056_mono.wav,Targets_STE-056_mono.wav,B,target1_APN_прозорец_четири_B,прозорци,прозореца,
target1,APAdvAN,четири,прозорец,С поправката майстора затрудниха четири счупени от много малкото дете,Targets_STE-057_mono.wav,Targets_STE-057_mono.wav,C,target1_APAdvAN_прозорец_четири_C,прозорци,прозореца,
target1,A,пет,кораб,На пристанището чакаха пет повредени,Targets_STE-058_mono.wav,Targets_STE-058_mono.wav,C,target1_A_кораб_пет_C,кораби,кораба,
target1,APN,пет,кораб,На пристанището чакаха пет повредени от цунамито,Targets_STE-059_mono.wav,Targets_STE-059_mono.wav,A,target1_APN_кораб_пет_A,кораби,кораба,
target1,APAdvAN,пет,кораб,На пристанището чакаха пет повредени от много силното цунами,Targets_STE-060_mono.wav,Targets_STE-060_mono.wav,B,target1_APAdvAN_кораб_пет_B,кораби,кораба,
target1,A,шест,глас,На заседанито се откриха шест проблемни,Targets_STE-061_mono.wav,Targets_STE-061_mono.wav,B,target1_A_глас_шест_B,гласове,гласа,
target1,APN,шест,глас,На заседанито се откриха шест проблемни за заключението,Targets_STE-062_mono.wav,Targets_STE-062_mono.wav,C,target1_APN_глас_шест_C,гласове,гласа,
target1,APAdvAN,шест,глас,На заседанито се откриха шест проблемни за много важното заключение,Targets_STE-063_mono.wav,Targets_STE-063_mono.wav,A,target1_APAdvAN_глас_шест_A,гласове,гласа,
target1,A,седем,език,В страната се говореха седем разпространени,Targets_STE-064_mono.wav,Targets_STE-064_mono.wav,A,target1_A_език_седем_A,езици,езика,
target1,APN,седем,език,В страната се говореха седем разпространени след завоеванието,Targets_STE-065_mono.wav,Targets_STE-065_mono.wav,B,target1_APN_език_седем_B,езици,езика,
target1,APAdvAN,седем,език,В страната се говореха седем разпространени след много внезапното завоевание,Targets_STE-066_mono.wav,Targets_STE-066_mono.wav,C,target1_APAdvAN_език_седем_C,езици,езика,
target1,A,шест,дом,От плъхове гъмжаха шест ремонтирани,Targets_STE-067_mono.wav,Targets_STE-067_mono.wav,C,target1_A_дом_шест_C,домове,дома,
target1,APN,шест,дом,От плъхове гъмжаха шест ремонтирани от хазяйката,Targets_STE-068_mono.wav,Targets_STE-068_mono.wav,A,target1_APN_дом_шест_A,домове,дома,
target1,APAdvAN,шест,дом,От плъхове гъмжаха шест ремонтирани от много строгата хазяйка,Targets_STE-069_mono.wav,Targets_STE-069_mono.wav,B,target1_APAdvAN_дом_шест_B,домове,дома,
target1,A,седем,наръчник,Решение на проблема предлагаха седем препоръчани,Targets_STE-070_mono.wav,Targets_STE-070_mono.wav,B,target1_A_наръчник_седем_B,наръчници,наръчника,
target1,APN,седем,наръчник,Решение на проблема предлагаха седем препоръчани от лекарката,Targets_STE-071_mono.wav,Targets_STE-071_mono.wav,C,target1_APN_наръчник_седем_C,наръчници,наръчника,
target1,APAdvAN,седем,наръчник,Решение на проблема предлагаха седем препоръчани от много известната лекарка,Targets_STE-072_mono.wav,Targets_STE-072_mono.wav,A,target1_APAdvAN_наръчник_седем_A,наръчници,наръчника,
filler1,A,две,маса,В работилницата бяха поправени две счупени,Fillers1_STE-001_mono.wav,Fillers1_STE-001_mono.wav,A,filler1_A_маса_две_A,маси,маси,
filler1,APN,две,маса,В работилницата бяха поправени две счупени от децата,Fillers1_STE-002_mono.wav,Fillers1_STE-002_mono.wav,B,filler1_APN_маса_две_B,маси,маси,
filler1,APAdvAN,две,маса,В работилницата бяха поправени две счупени от много лошите деца,Fillers1_STE-003_mono.wav,Fillers1_STE-003_mono.wav,C,filler1_APAdvAN_маса_две_C,маси,маси,
filler1,A,три,риба,В чинията бяха сервирани три изпържени,Fillers1_STE-004_mono.wav,Fillers1_STE-004_mono.wav,C,filler1_A_риба_три_C,риби,риби,
filler1,APN,три,риба,В чинията бяха сервирани три изпържени от момчетата,Fillers1_STE-005_mono.wav,Fillers1_STE-005_mono.wav,A,filler1_APN_риба_три_A,риби,риби,
filler1,APAdvAN,три,риба,В чинията бяха сервирани три изпържени от много гладните момчета,Fillers1_STE-006_mono.wav,Fillers1_STE-006_mono.wav,B,filler1_APAdvAN_риба_три_B,риби,риби,
filler1,A,четири,задача,На контролното се появиха четири решени,Fillers1_STE-007_mono.wav,Fillers1_STE-007_mono.wav,B,filler1_A_задача_четири_B,задачи,задачи,
filler1,APN,четири,задача,На контролното се появиха четири решени от момичето,Fillers1_STE-008_mono.wav,Fillers1_STE-008_mono.wav,C,filler1_APN_задача_четири_C,задачи,задачи,
filler1,APAdvAN,четири,задача,На контролното се появиха четири решени от много ученолюбивото момиче,Fillers1_STE-009_mono.wav,Fillers1_STE-009_mono.wav,A,filler1_APAdvAN_задача_четири_A,задачи,задачи,
filler1,A,пет,принцеса,На коня седяха пет спасени,Fillers1_STE-010_mono.wav,Fillers1_STE-010_mono.wav,A,filler1_A_принцеса_пет_A,принцеси,принцеси,
filler1,APN,пет,принцеса,На коня седяха пет спасени от юначето,Fillers1_STE-011_mono.wav,Fillers1_STE-011_mono.wav,B,filler1_APN_принцеса_пет_B,принцеси,принцеси,
filler1,APAdvAN,пет,принцеса,На коня седяха пет спасени от много смелото юначе,Fillers1_STE-012_mono.wav,Fillers1_STE-012_mono.wav,C,filler1_APAdvAN_принцеса_пет_C,принцеси,принцеси,
filler1,A,шест,купичка,В шкафа стояха шест пълни,Fillers1_STE-013_mono.wav,Fillers1_STE-013_mono.wav,C,filler1_A_купичка_шест_C,купички,купички,
filler1,APN,шест,купичка,В шкафа стояха шест пълни с камъчета,Fillers1_STE-014_mono.wav,Fillers1_STE-014_mono.wav,A,filler1_APN_купичка_шест_A,купички,купички,
filler1,APAdvAN,шест,купичка,В шкафа стояха шест пълни с много ценни камъчета,Fillers1_STE-015_mono.wav,Fillers1_STE-015_mono.wav,B,filler1_APAdvAN_купичка_шест_B,купички,купички,
filler1,A,седем,лодка,По водата се носеха седем инспектирани,Fillers1_STE-016_mono.wav,Fillers1_STE-016_mono.wav,B,filler1_A_лодка_седем_B,лодки,лодки,
filler1,APN,седем,лодка,По водата се носеха седем инспектирани от морячето,Fillers1_STE-017_mono.wav,Fillers1_STE-017_mono.wav,C,filler1_APN_лодка_седем_C,лодки,лодки,
filler1,APAdvAN,седем,лодка,По водата се носеха седем инспектирани от много отговорното моряче,Fillers1_STE-018_mono.wav,Fillers1_STE-018_mono.wav,A,filler1_APAdvAN_лодка_седем_A,лодки,лодки,
filler1,A,две,овца,В гората се изгубиха две подгонени,Fillers1_STE-019_mono.wav,Fillers1_STE-019_mono.wav,A,filler1_A_овца_две_A,овце,овце,
filler1,APN,две,овца,В гората се изгубиха две подгонени от вълчето,Fillers1_STE-020_mono.wav,Fillers1_STE-020_mono.wav,B,filler1_APN_овца_две_B,овце,овце,
filler1,APAdvAN,две,овца,В гората се изгубиха две подгонени от много малкото вълче,Fillers1_STE-021_mono.wav,Fillers1_STE-021_mono.wav,C,filler1_APAdvAN_овца_две_C,овце,овце,
filler1,A,три,ездачка,На земята лежаха три съборени,Fillers1_STE-022_mono.wav,Fillers1_STE-022_mono.wav,C,filler1_A_ездачка_три_C,ездачки,ездачки,
filler1,APN,три,ездачка,На земята лежаха три съборени от кончето,Fillers1_STE-023_mono.wav,Fillers1_STE-023_mono.wav,A,filler1_APN_ездачка_три_A,ездачки,ездачки,
filler1,APAdvAN,три,ездачка,На земята лежаха три съборени от много буйното конче,Fillers1_STE-024_mono.wav,Fillers1_STE-024_mono.wav,B,filler1_APAdvAN_ездачка_три_B,ездачки,ездачки,
filler1,A,четири,врата,При проверката се намериха четири отворени,Fillers1_STE-025_mono.wav,Fillers1_STE-025_mono.wav,B,filler1_A_врата_четири_B,врати,врати,
filler1,APN,четири,врата,При проверката се намериха четири отворени с ключето,Fillers1_STE-026_mono.wav,Fillers1_STE-026_mono.wav,C,filler1_APN_врата_четири_C,врати,врати,
filler1,APAdvAN,четири,врата,При проверката се намериха четири отворени с много малкото ключе,Fillers1_STE-027_mono.wav,Fillers1_STE-027_mono.wav,A,filler1_APAdvAN_врата_четири_A,врати,врати,
filler1,A,пет,птица,През прозореца се забелязваха пет сгушени,Fillers1_STE-028_mono.wav,Fillers1_STE-028_mono.wav,A,filler1_A_птица_пет_A,птици,птици,
filler1,APN,пет,птица,През прозореца се забелязваха пет сгушени на клончето,Fillers1_STE-029_mono.wav,Fillers1_STE-029_mono.wav,B,filler1_APN_птица_пет_B,птици,птици,
filler1,APAdvAN,пет,птица,През прозореца се забелязваха пет сгушени на много малкото клонче,Fillers1_STE-030_mono.wav,Fillers1_STE-030_mono.wav,C,filler1_APAdvAN_птица_пет_C,птици,птици,
filler1,A,шест,пчела,Вчера бяха идентифицирани шест жилещи,Fillers1_STE-031_mono.wav,Fillers1_STE-031_mono.wav,C,filler1_A_пчела_шест_C,пчели,пчели,
filler1,APN,шест,пчела,Вчера бяха идентифицирани шест жилещи мечето,Fillers1_STE-032_mono.wav,Fillers1_STE-032_mono.wav,A,filler1_APN_пчела_шест_A,пчели,пчели,
filler1,APAdvAN,шест,пчела,Вчера бяха идентифицирани шест жилещи много малкото мече,Fillers1_STE-033_mono.wav,Fillers1_STE-033_mono.wav,B,filler1_APAdvAN_пчела_шест_B,пчели,пчели,
filler1,A,седем,програма,На заседанието бяха разгледани седем актуални,Fillers1_STE-034_mono.wav,Fillers1_STE-034_mono.wav,B,filler1_A_програма_седем_B,програми,програми,
filler1,APN,седем,програма,На заседанието бяха разгледани седем актуални във времето,Fillers1_STE-035_mono.wav,Fillers1_STE-035_mono.wav,C,filler1_APN_програма_седем_C,програми,програми,
filler1,APAdvAN,седем,програма,На заседанието бяха разгледани седем актуални в много трудното време,Fillers1_STE-036_mono.wav,Fillers1_STE-036_mono.wav,A,filler1_APAdvAN_програма_седем_A,програми,програми,
filler1,A,две,книга,Миналата година излязоха две преведени,Fillers1_STE-037_mono.wav,Fillers1_STE-037_mono.wav,A,filler1_A_книга_две_A,книги,книги,
filler1,APN,две,книга,Миналата година излязоха две преведени от ученика,Fillers1_STE-038_mono.wav,Fillers1_STE-038_mono.wav,B,filler1_APN_книга_две_B,книги,книги,
filler1,APAdvAN,две,книга,Миналата година излязоха две преведени от много ученолюбивия ученик,Fillers1_STE-039_mono.wav,Fillers1_STE-039_mono.wav,C,filler1_APAdvAN_книга_две_C,книги,книги,
filler1,A,три,кола,По пътя се движеха три поправени,Fillers1_STE-040_mono.wav,Fillers1_STE-040_mono.wav,C,filler1_A_кола_три_C,коли,коли,
filler1,APN,три,кола,По пътя се движеха три поправени от майстора,Fillers1_STE-041_mono.wav,Fillers1_STE-041_mono.wav,A,filler1_APN_кола_три_A,коли,коли,
filler1,APAdvAN,три,кола,По пътя се движеха три поправени от много сръчния майстор,Fillers1_STE-042_mono.wav,Fillers1_STE-042_mono.wav,B,filler1_APAdvAN_кола_три_B,коли,коли,
filler1,A,четири,гора,През нощта горяха четири подпалени,Fillers1_STE-043_mono.wav,Fillers1_STE-043_mono.wav,B,filler1_A_гора_четири_B,гори,гори,
filler1,APN,четири,гора,През нощта горяха четири подпалени от бракониера,Fillers1_STE-044_mono.wav,Fillers1_STE-044_mono.wav,C,filler1_APN_гора_четири_C,гори,гори,
filler1,APAdvAN,четири,гора,През нощта горяха четири подпалени от много опасния бракониер,Fillers1_STE-045_mono.wav,Fillers1_STE-045_mono.wav,A,filler1_APAdvAN_гора_четири_A,гори,гори,
filler1,A,пет,доставка,Вчера пристигнаха пет превозени,Fillers1_STE-046_mono.wav,Fillers1_STE-046_mono.wav,A,filler1_A_доставка_пет_A,доставки,доставки,
filler1,APN,пет,доставка,Вчера пристигнаха пет превозени с камиона,Fillers1_STE-047_mono.wav,Fillers1_STE-047_mono.wav,B,filler1_APN_доставка_пет_B,доставки,доставки,
filler1,APAdvAN,пет,доставка,Вчера пристигнаха пет превозени с много големия камион,Fillers1_STE-048_mono.wav,Fillers1_STE-048_mono.wav,C,filler1_APAdvAN_доставка_пет_C,доставки,доставки,
filler1,A,шест,песен,В залата прозвучаха шест изпeти,Fillers1_STE-049_mono.wav,Fillers1_STE-049_mono.wav,C,filler1_A_песен_шест_C,песни,песни,
filler1,APN,шест,песен,В залата прозвучаха шест изпeти от певеца,Fillers1_STE-050_mono.wav,Fillers1_STE-050_mono.wav,A,filler1_APN_песен_шест_A,песни,песни,
filler1,APAdvAN,шест,песен,В залата прозвучаха шест изпeти от много известния певец,Fillers1_STE-051_mono.wav,Fillers1_STE-051_mono.wav,B,filler1_APAdvAN_песен_шест_B,песни,песни,
filler1,A,седем,кофа,Пред вратата бяха оставени седем пълни,Fillers1_STE-052_mono.wav,Fillers1_STE-052_mono.wav,B,filler1_A_кофа_седем_B,кофи,кофи,
filler1,APN,седем,кофа,Пред вратата бяха оставени седем пълни със сняг,Fillers1_STE-053_mono.wav,Fillers1_STE-053_mono.wav,C,filler1_APN_кофа_седем_C,кофи,кофи,
filler1,APAdvAN,седем,кофа,Пред вратата бяха оставени седем пълни с много ситен сняг,Fillers1_STE-054_mono.wav,Fillers1_STE-054_mono.wav,A,filler1_APAdvAN_кофа_седем_A,кофи,кофи,
filler1,A,две,брошура,На масата бяха подредени две оцветени брошури,Fillers1_STE-055_mono.wav,Fillers1_STE-055_mono.wav,A,filler1_A_брошура_две_A,брошури,брошури,
filler1,APN,две,брошура,На масата бяха подредени две оцветени от студента,Fillers1_STE-056_mono.wav,Fillers1_STE-056_mono.wav,B,filler1_APN_брошура_две_B,брошури,брошури,
filler1,APAdvAN,две,брошура,На масата бяха подредени две оцветени от много умния студент,Fillers1_STE-057_mono.wav,Fillers1_STE-057_mono.wav,C,filler1_APAdvAN_брошура_две_C,брошури,брошури,
filler1,A,три,чаша,На земята проблясваха три счупени,Fillers1_STE-058_mono.wav,Fillers1_STE-058_mono.wav,C,filler1_A_чаша_три_C,чаши,чаши,
filler1,APN,три,чаша,На земята проблясваха три счупени след удара,Fillers1_STE-059_mono.wav,Fillers1_STE-059_mono.wav,A,filler1_APN_чаша_три_A,чаши,чаши,
filler1,APAdvAN,три,чаша,На земята проблясваха три счупени след много силния удар,Fillers1_STE-060_mono.wav,Fillers1_STE-060_mono.wav,B,filler1_APAdvAN_чаша_три_B,чаши,чаши,
filler1,A,четири,бутилка,В барчето бяха сложени четири пълни,Fillers1_STE-061_mono.wav,Fillers1_STE-061_mono.wav,B,filler1_A_бутилка_четири_B,бутилки,бутилки,
filler1,APN,четири,бутилка,В барчето бяха сложени четири пълни с коняк,Fillers1_STE-062_mono.wav,Fillers1_STE-062_mono.wav,C,filler1_APN_бутилка_четири_C,бутилки,бутилки,
filler1,APAdvAN,четири,бутилка,В барчето бяха сложени четири пълни с много силен коняк,Fillers1_STE-063_mono.wav,Fillers1_STE-063_mono.wav,A,filler1_APAdvAN_бутилка_четири_A,бутилки,бутилки,
filler1,A,пет,новела,Подготвяха се за печат пет написани,Fillers1_STE-064_mono.wav,Fillers1_STE-064_mono.wav,A,filler1_A_новела_пет_A,новели,новели,
filler1,APN,пет,новела,Подготвяха се за печат пет написани от автора,Fillers1_STE-065_mono.wav,Fillers1_STE-065_mono.wav,B,filler1_APN_новела_пет_B,новели,новели,
filler1,APAdvAN,пет,новела,Подготвяха се за печат пет написани от много известния автор,Fillers1_STE-066_mono.wav,Fillers1_STE-066_mono.wav,C,filler1_APAdvAN_новела_пет_C,новели,новели,
filler1,A,шест,служителка,На комисията се оплакаха шест тормозени,Fillers1_STE-067_mono.wav,Fillers1_STE-067_mono.wav,C,filler1_A_служителка_шест_C,служителки,служителки,
filler1,APN,шест,служителка,На комисията се оплакаха шест тормозени от шефа,Fillers1_STE-068_mono.wav,Fillers1_STE-068_mono.wav,A,filler1_APN_служителка_шест_A,служителки,служителки,
